,天気日数,,,,,,地震回数,霜雪期(前年から本年にわたる),,,,,
,快晴,晴,曇天,降水,降雪,暴風,,霜,,雪,,根雪(長期積雪),
,,,,,,,,初日,終日,初日,終日,初日,終日
12,23,163,179,206,104,271,14,10/21,5/2,11/14,4/18,12/31,3/11
13,28,187,151,195,119,190,23,10/27,5/14,11/8,4/5,12/27,3/26
14,28,182,155,188,107,162,11,10/13,5/11,10/29,4/10,12/17,3/31
昭和１,17,179,169,213,117,172,18,10/16,5/16,11/5,4/19,12/29,3/5
2,33,180,152,197,99,162,18,10/10,5/14,10/27,4/16,2-1/12,3/24
3,25,154,187,197,108,145,17,10/19,5/8,11/12,4/24,12/16,3/7
4,15,203,147,196,102,133,28,10/5,5/3,10/31,5/5,12/11,3/18
5,38,178,149,183,104,149,27,10/29,5/18,11/1,5/6,12/31,2/27
6,23,166,176,205,98,149,35,10/16,5/21,11/4,4/28,12/13,3/17
7,22,184,160,213,86,125,27,10/12,4/24,10/28,4/11,7-2/3,3/7
8,28,204,133,187,101,98,29,10/15,5/9,11/8,4/28,8-1/12,3/30
9,20,184,161,193,120,81,13,10/8,5/3,11/2,4/14,9-1/1,3/20
10,24,177,164,214,105,83,38,10/3,5/11,11/8,5/1,10/1/16,2/24
昭和11,16,183,167,213,118,74,14,10/24,5/25,11/11,4/11,12/9,3/23
12,27,194,144,191,114,70,14,10/9,5/11,10/22,4/7,12-1/7,2/28
13,26,195,144,196,101,62,23,10/21,4/26,11/18,4/13,12/19,3/4
14,21,184,160,186,114,69,9,10/18,4/19,11/22,4/5,12/6,3/8
15,34,154,179,187,102,73,13,10/10,5/1,10/21,4/10,12/11,3/7
16,37,126,202,186,108,77,2,10/10,5/13,11/8,4/27,16-1/12,3/11
17,26,151,188,199,115,89,5,10/22,5/19,10/26,4/18,12/24,3/12
18,31,159,175,174,113,98,15,10/19,5/16,10/24,4/16,12/8,3/17
19,23,163,180,183,119,90,11,10/24,4/25,11/7,4/16,12/18,3/28
20,22,153,190,209,109,94,17,10/13,4/25,11/10,4/6,12/3,3/29
21,42,160,163,196,110,105,1,10/21,4/27,10/25,4/15,12/10,3/31
22,30,162,171,219,125,118,5,10/20,5/9,10/28,4/23,12/10,3/27
23,39,162,165,172,75,90,2,10/6,4/17,11/5,3/26,11/24,1/20
24,26,149,190,204,105,146,3,10/15,5/4,11/8,4/16,24-1/4,1/31
25,44,154,167,182,97,118,-,10/24,4/29,11/15,4/7,12/18,3/2
26,38,162,165,194,71,121,-,10/15,4/26,10/23,4/24,12/17,3/16
27,32,160,174,202,95,90,14,10/11,5/17,11/5,4/15,12/23,3/28
28,35,157,173,183,110,104,6,10/14,5/19,11/7,4/23,12/2,3/19
29,37,144,184,178,93,122,11,10/15,4/28,11/6,4/3,12/27,2/27
30,42,130,193,211,98,164,9,10/5,5/6,11/11,4/21,12/21,3/20
31,35,140,191,208,113,136,5,10/24,4/22,10/30,4/20,12/29,3/18
32,35,138,192,192,106,141,5,10/24,5/4,11/14,4/11,11/27,4/4
33,35,158,172,169,101,146,3,10/24,4/25,10/18,4/14,12/29,3/16
34,29,135,201,191,99,129,5,10/28,4/20,11/19,4/14,12/26,2/16
35,40,152,174,192,109,141,13,10/18,4/24,11/9,4/11,12/17,2/25
36,34,164,167,154,102,107,5,10/3,5/1,11/15,4/10,12/13,3/11
37,33,161,171,167,106,109,8,10/20,4/16,11/9,4/5,12/14,3/25
38,39,142,184,158,93,92,6,10/10,5/3,11/19,4/10,12/22,3/8
39,26,160,180,167,104,85,10,10/6,4/30,11/15,4/21,12/26,3/11
40,32,172,161,168,128,110,4,10/11,5/1,10/24,4/22,40-1/2,3/30
41,24,144,197,182,115,101,1,10/7,4/20,11/9,4/10,12/15,3/3
42,38,172,154,166,106,67,8,10/6,4/17,11/2,4/5,11/30,3/2
43,32,173,178,170,86,61,46,10/2,4/22,11/9,3/18,12/9,3/17
44,31,135,199,153,113,65,6,10/8,5/2,11/15,4/5,12/22,3/24
45,43,144,178,139,126,54,8,9/30,5/15,11/4,4/13,11/21,4/1
46,38,155,172,164,103,45,9,10/11,4/28,10/27,5/7,11/28,3/19
47,42,166,158,181,80,49,７,10/14,5/13,11/8,4/2,11/28,3/1
48,31,162,172,166,113,32,9,10/19,4/15,11/5,3/29,12/13,3/6
49,32,146,187,162,111,35,７,10/7,5/7,11/11,4/3,12/4,2/26
50,32,147,186,152,100,12,4,10/15,4/23,10/31,4/1,12/3,2/21
51,40,144,182,146,112,18,4,10/16,5/10,11/23,4/7,12/13,2/4
52,34,139,192,150,100,11,3,10/6,5/10,10/25,4/23,12/9,2/18
53,38,156,171,150,102,10,18,10/11,5/7,11/10,4/9,12/19,3/24
54,38,149,178,166,102,12,28,10/5,5/4,10/27,4/17,1/10,3/4
55,25,146,195,164,111,14,20,10/29,5/18,11/6,5/1,12/21,3/21
