,,函　　　館　　　簡　　　易　　　裁　　　判,,,,,,,,,函　　館　地　　方　　裁　　判,,,,
,,受　　　　理,,,既　　　　　　　　　済,,,,,未　済,受　　　　理,,,既,
,,旧　受,新　受,計,判　決,決　定,命　令,その他,計,,旧　受,新　受,計,判　決,決　定
,昭和45,239,"4,343","4,582",302,95,12,"3,904","4,313",269,"1,282","3,519","4,801",379,179
,46,269,"4,997","5,266",340,111,９,"4,552","5,012",254,"1,444","3,294","4,738",295,147
,47,254,"4,114","4,368",335,68,12,"3,754","4,169",199,"1,371","2,731","4,102",251,105
,48,199,"3,485","3,684",267,51,９,"3,125","3,452",232,1，048,"2,109","3,157",183,89
,49,232,"3,747","3,979",245,64,17,"3,455","3,781",198,806,"2,510","3,316",176,139
,50,198,"4,378","4,576",426,51,19,"3,886","4,382",194,883,"2,922","3,805",167,104
,51,194,"4,121","4,315",208,37,８,"3,826","4,079",236,"1,044","2,906","3,950",219,105
,52,236,"5,009","5,245",464,31,18,"4,525","5,038",207,"1,132","3,189","4,321",258,128
,53,207,"5,114","5,321",418,-,-,"4,671","5,089",232,"1,014","3,183","4,197",291,-
,54,232,"5,292","5,524",337,-,-,"4,982","5,319",205,858,"3,489","4,347",243,-
,55,205,"6,898","7,103",210,-,-,"6,439","6,649",454,908,"3,785","4,693",250,-
